 DEA,QDEA1,QDEA2,
  0.45969771,  0.51034728,  0.54166025,
  0.61222940,  0.68855124,  0.71056407,
  0.46268694,  0.53164539,  0.55866170,
  0.46309997,  0.60931305,  0.64926946,
  0.39496256,  0.44414755,  0.45812928,
  0.47131298,  0.54155677,  0.56907670,
  0.42496644,  0.48335522,  0.50059119,
  0.38175148,  0.42984076,  0.44642511,
  0.39786468,  0.45249163,  0.46862467,
  0.35152246,  0.39544902,  0.40586415,
  0.48223627,  0.54633837,  0.56806309,
  0.33253293,  0.37524897,  0.38925058,
  0.42206196,  0.48254801,  0.50594439,
  0.57622341,  0.64407527,  0.67235231,
  0.39850489,  0.45965724,  0.48287187,
  0.54505634,  0.62573017,  0.64725569,
  0.41728405,  0.47212375,  0.48926725,
  0.38271853,  0.43079843,  0.44311208,
  0.35299630,  0.40851427,  0.42922227,
  0.45934086,  0.51797928,  0.53379243,
  0.29199283,  0.37074320,  0.39505512,
  0.46420932,  0.61813384,  0.65866869,
  0.42601851,  0.47988013,  0.49812324,
  0.50174459,  0.57451731,  0.59820182,
  0.42827171,  0.48213765,  0.49592988,
  0.43576130,  0.50983186,  0.54272321,
  0.48880524,  0.55065728,  0.56736423,
  0.37039378,  0.47171760,  0.50265103,
  0.38997604,  0.43962325,  0.45626133,
  0.34797689,  0.39998739,  0.42033363,
  0.49382697,  0.56177364,  0.58785595,
  0.51580418,  0.57263557,  0.60777031,
  0.39181271,  0.44749451,  0.46906736,
  0.50111834,  0.59014750,  0.62856956,
  0.42864011,  0.48202051,  0.49538408,
  0.35112999,  0.43207044,  0.46040397,
  0.54456654,  0.63591462,  0.67673183,
  0.31687249,  0.35170400,  0.37238118,
  0.48979184,  0.55402761,  0.57668583,
  0.45414047,  0.51073387,  0.52704971,
  0.39864551,  0.44852862,  0.46482118,
  0.40011505,  0.45824810,  0.47714893,
  0.39134655,  0.44309389,  0.45919249,
  0.46845085,  0.56497209,  0.60618449,
  0.47508973,  0.55246169,  0.58374992,
  0.42948198,  0.48596936,  0.50480388,
  0.53583393,  0.60263902,  0.61919012,
  0.35664280,  0.40522713,  0.41964465,
  0.63436245,  0.70425661,  0.74746712,
  0.39163837,  0.45074613,  0.46627385,
  0.43522576,  0.49066610,  0.50563004,
  0.50197359,  0.56451259,  0.58241027,
  0.36764190,  0.44429561,  0.47685418,
  0.40368954,  0.46006378,  0.48207486,
  0.51866986,  0.57581699,  0.61114693,
  0.51653393,  0.58458874,  0.60727676,
  0.51291845,  0.68299415,  0.72778229,
  0.61829326,  0.69866270,  0.72438880,
  0.45938916,  0.51681742,  0.53555055,
  0.48029191,  0.59691948,  0.63606317,
  0.47182972,  0.53892057,  0.55740553,
  0.41673359,  0.51609487,  0.54993839,
  0.31813210,  0.35830874,  0.36915375,
  0.40444107,  0.45727976,  0.47490517,
  0.57829081,  0.64157053,  0.67948868,
  0.44368482,  0.50324149,  0.52325952,
  0.49548483,  0.58537388,  0.62080336,
  0.39083273,  0.44075968,  0.45421983,
  0.41634409,  0.47092652,  0.48802266,
  0.45568131,  0.51245969,  0.52881589,
  0.53462856,  0.65339459,  0.69617335,
  0.50168647,  0.57606737,  0.60482900,
  0.52795867,  0.59711971,  0.61879548,
  0.61718800,  0.82183784,  0.87573082,
  0.47938772,  0.54877792,  0.56761042,
  0.47495368,  0.53312047,  0.55500539,
  0.41474202,  0.46680803,  0.48478843,
  0.37677342,  0.45742733,  0.48723483,
  0.41264939,  0.47619300,  0.50025634,
  0.45134670,  0.50055261,  0.53026306,
  0.45751599,  0.54387512,  0.57980297,
  0.48115849,  0.54155024,  0.56240750,
  0.41160593,  0.46471751,  0.48182580,
  0.39330520,  0.44870825,  0.46518896,
  0.52195826,  0.57946771,  0.61502165,
  0.50403608,  0.67116653,  0.71517906,
  0.43464352,  0.50219667,  0.52761243,
  0.41468875,  0.46634131,  0.48113534,
  0.37154965,  0.44262356,  0.47208204,
  0.50839448,  0.57300211,  0.59045738,
  0.57745337,  0.66353212,  0.68635190,
  0.52868488,  0.59796643,  0.62107427,
  0.46299274,  0.52094488,  0.53988023,
  0.43514493,  0.49009058,  0.50492146,
  0.54490918,  0.60778387,  0.63466181,
  0.68265326,  0.77144786,  0.79950208,
  0.45251212,  0.57044334,  0.60785082,
  0.51009489,  0.58385677,  0.60782984,
  0.43476586,  0.48208604,  0.51075453,
  0.38495379,  0.43470064,  0.44901843,
  0.42515395,  0.48131102,  0.50002851,
  0.77278118,  0.85792634,  0.91056544,
  0.42136093,  0.47419574,  0.49119969,
  0.38932909,  0.43999157,  0.45600095,
  0.55698962,  0.61771381,  0.65561438,
  0.50633886,  0.56995478,  0.58624752,
  0.36071567,  0.40586725,  0.42062070,
  0.49677676,  0.55039610,  0.58416631,
  0.49311643,  0.56898972,  0.59773855,
  0.41035297,  0.46246799,  0.47655179,
  0.47826472,  0.54183706,  0.56190731,
  0.53857048,  0.61568852,  0.64087253,
  0.62266603,  0.70365832,  0.72924749,
  0.39124480,  0.44040179,  0.45299147,
  0.47165183,  0.54010665,  0.56642669,
  0.56250383,  0.62358735,  0.66184830,
  0.39710528,  0.44669347,  0.46100575,
  0.62476681,  0.70739611,  0.73309790,
  0.46651402,  0.52994154,  0.55189961,
  0.35799734,  0.40262353,  0.41536999,
  0.49728429,  0.55921200,  0.57476363,
  0.43791251,  0.48535293,  0.51513234,
  0.59239592,  0.68156444,  0.70504709,
  0.51292659,  0.57680126,  0.59504693,
  0.48947060,  0.55241641,  0.57275138,
  0.47546814,  0.53482014,  0.54895583,
  0.44663282,  0.56879268,  0.60609193,
  0.45233228,  0.51715614,  0.54223046,
  0.46381195,  0.52406059,  0.54136355,
  0.45036134,  0.50644614,  0.52051162,
  0.42951695,  0.48878932,  0.50623510,
  0.61499986,  0.68276065,  0.72465225,
  0.53599354,  0.60533182,  0.62761831,
  0.49506171,  0.56629853,  0.58950633,
  0.53801686,  0.61492633,  0.64006286,
  0.38717376,  0.43547219,  0.44700734,
  0.40945716,  0.46302599,  0.48089569,
  0.41180375,  0.46602682,  0.48494675,
  0.48389526,  0.54716718,  0.56702625,
  0.56326990,  0.64715315,  0.67951686,
  0.35502123,  0.42413538,  0.45264034,
  0.53204822,  0.59830521,  0.61494175,
  0.43319019,  0.48897639,  0.50505418,
  0.53408334,  0.64008363,  0.68347519,
  0.45492793,  0.50771479,  0.53012305,
  0.52681475,  0.59388067,  0.61198705,
  0.56830217,  0.64040232,  0.65989458,
  0.39201488,  0.44319045,  0.46026053,
  0.46971750,  0.52229105,  0.54602432,
  0.48449425,  0.53787591,  0.57087794,
  0.51282617,  0.56848104,  0.60336088,
  0.41452999,  0.46631894,  0.47860939,
  0.42156915,  0.48344927,  0.50710937,
  0.52156424,  0.57766703,  0.61311049,
  0.43059850,  0.48444067,  0.50200958,
  0.53689560,  0.61497171,  0.64034338,
  0.54415138,  0.61582259,  0.63818861,
  0.37795381,  0.43230684,  0.45001934,
  0.45440920,  0.52238901,  0.54896987,
  0.46716689,  0.52750322,  0.54487298,
  0.45796474,  0.51548978,  0.53022218,
  0.45015935,  0.49975799,  0.53042124,
  0.47623830,  0.54146990,  0.56076567,
  0.50701269,  0.58010408,  0.60389468,
  0.40927740,  0.46140658,  0.47886368,
  0.57393479,  0.75245398,  0.80179703,
  0.51351006,  0.58213463,  0.60524097,
  0.49749655,  0.55564664,  0.58010647,
  0.50157199,  0.56411023,  0.57959515,
  0.47771065,  0.54669940,  0.56545934,
  0.44771804,  0.50392513,  0.52333542,
  0.47417735,  0.56767905,  0.60606474,
  0.42868401,  0.48394791,  0.49986971,
  0.51629292,  0.66176203,  0.70515785,
  0.61133170,  0.68776844,  0.71270819,
  0.52562234,  0.58353550,  0.61933902,
