 DEA,QDEA1,QDEA2,
************,************,************,
  0.00000000, -0.00000000,************,
 -0.00000007,  0.00000001, -0.00000000,
  0.00000000,  0.00000000,-22.32389069,
  0.00000000,************,************,
************,************,************,
************, -0.58184248,************,
************,************, -0.00000000,
************,************,************,
  0.00000000,************, -0.00000000,
 -0.00000000, -0.00000000, -0.00000000,
  0.00003206,  0.02900946,************,
  0.00000000,  0.00000000,************,
  0.00000000, -0.04337893,************,
 -0.00000000,  0.00000000,************,
         NaN,************, -0.00000000,
  0.00000000, -0.00000000, -0.00000000,
************, -0.00000000,************,
************,  0.00000000, -0.00000000,
  0.00000002,************,************,
 -0.00000000, -0.00000044,************,
  0.00000000, -0.00000000,************,
  0.00000000,  0.00000000,************,
 -0.00000000,  0.00000000,  0.00000000,
************,************, -0.00000000,
************,************,  0.00000000,
************,  0.00000000,  0.00000000,
  0.00000000,  0.00000000, -0.00000000,
  0.00000000, -0.00000000, -0.00000011,
************, -0.00038273,  0.00000000,
************, -0.00004142,************,
-35.63354492,************, -0.00008463,
 -0.00000000,  0.00000000,  0.00000000,
************,  0.00000000,************,
************, -0.00000000,************,
************,************,  0.00000000,
************, -0.00000000, -0.00000000,
 -0.00000000,************,************,
************,  0.00000000,************,
  0.00000000, -0.00000000,************,
************,************,************,
  0.00000000,************, -0.00000000,
************,************,************,
************,************,  0.00000000,
-14.44603729,  0.00000000,************,
************,  0.14871866,************,
  0.00000000, -0.00000000,************,
************,************,  0.00277805,
************,  0.00000000,  0.00000000,
************,************,************,
  0.00000000,************,  0.00000000,
************, -0.00000038,************,
************,************,************,
 -0.00000000,************, -0.00000000,
 -0.00000000, -1.85145187,  0.00000000,
  0.00000000,************, -0.00000000,
************, -0.00000000,  0.00000000,
************,************,************,
************, -0.00000000,************,
************,************,  0.00000000,
************,************,  0.00000000,
************,************,************,
 -0.02642694,************,  0.00000000,
************,************, -0.00000000,
 -0.00014270,************,  0.00000000,
  0.00000000,************,-13.05821133,
  0.00000000,  0.00000000,  0.00000000,
************,  0.00000000,  0.00000000,
 -0.00000000,  0.00000000,************,
************,************,************,
************,************,************,
************,************,************,
 -0.00000000,************,  0.00000000,
  0.00000000,************, -0.00000000,
************, -0.00000895,************,
  0.00000000, -0.00000000, -0.00000000,
  0.00000000,************,  0.00000000,
  4.56647110, 97.47333527,  0.00000000,
************,  0.00000082, -0.00000000,
  1.81115675,************,  0.04625507,
  0.00000000,************,************,
************,  0.00000000,  0.00000000,
************,         NaN,************,
 -0.00000000,************,************,
************,************,************,
************,  0.00382612,  0.00000000,
  0.00000000, -0.11263369,************,
 -0.00000008,  0.00553556,************,
  0.00000000,************, -0.00000000,
************, -0.00000000,************,
************, -0.00000026,************,
 -0.00000000,************,  0.00000000,
************, -0.00000000,************,
  0.00000000,************,  0.00000000,
************,  0.00000000,************,
 -0.00000000,************,************,
************,************, -0.00000000,
 -0.00000000,************, -0.00000000,
  0.00000000,************,************,
  0.00000293, -0.00000000,************,
************, -0.00127772,************,
 -0.00000000,************,  0.00000000,
************,  0.00000000,************,
 -0.00000000,************, -0.00000000,
************, -4.99142265,  0.00000000,
 -0.00000000,************,  0.00000000,
  0.00000000, -0.00000000,  0.00000000,
************,************, -0.00000000,
  0.00923959,************, -0.00000000,
  0.00000000,************,  0.00000000,
 -0.00000000, -0.00000000,  0.00000000,
  0.00000000,************,  0.00000000,
************,************,************,
 -0.00000000,************,************,
  0.00000000, -0.00651676,************,
  0.00000000,************,************,
************,  0.00000770,************,
************,  0.00000000, -0.00009307,
 -0.00000000,************,************,
 -0.00000000,************,  0.00000000,
************, -0.00000000, -0.00000000,
  0.00000000, -0.00001036,************,
************,  0.00010854,************,
  0.00000000,************,************,
************,  0.00000000, -0.00000012,
************,  0.00000000,************,
************, -0.00000294,************,
  0.00000000,  0.00000000, -0.00000001,
************, -0.00000177, -0.00000000,
************, -0.00000000,************,
 -0.00000000,************,************,
  0.00000000,************,************,
************,************,         NaN,
************,  0.00000000,************,
  0.00000000,************,  0.00000000,
************, -8.88477707, -0.00000000,
************,************, -0.00001284,
  0.00000000,  0.00000000,  0.00000000,
************, -0.12407707,  0.00058521,
 -0.00000000, -0.00000000,  0.00000000,
************, -0.00063069,  0.00000000,
************,************,************,
************, -0.00000000,************,
************, -0.00000000,************,
  0.00000000,  0.00000000, -0.00000000,
 -0.00000000,  0.00000000,************,
  0.00000000,  0.00000000,  0.26260659,
 -0.00000000,************, -0.00000000,
************, -0.00074183,  0.00000000,
  0.00000000, -0.00000000,************,
************,  0.00000000,************,
************,************,************,
  0.00000000,  0.00000122,************,
************, -0.00000000,************,
************,************,************,
 -0.00000000,  0.00000000,************,
  0.00000000, -0.00000000, -0.00000000,
  0.00000000,************,************,
************,  0.00000000,  5.07949257,
************,************,************,
************,************, -0.00000000,
  0.00000000,************,************,
  0.00000003, -0.00000000,************,
 -0.00000000,************,************,
************,************,************,
************,************,  0.01110105,
 -0.00000000,************,************,
************,************,************,
 -0.00000001,************,  0.00000000,
 -0.00000000, -0.00628837,  0.00000000,
 -0.00000000, -0.00000000,************,
************,  4.46095991,************,
  0.00000000, -0.00000000, -0.00000000,
 -0.05890096, -0.00000000,  0.00000001,
         NaN,************,************,
************, -0.00000000,  0.00000000,
************,************,************,
  0.00000000, -0.00000000,************,
************,************,  0.00000000,
************,************,  0.00000000,
************,         NaN,************,
  0.00000000,  0.00000000,  0.00000000,
 -0.00000000, -0.00000000, -0.00000000,
************,************,  0.00236057,
************,  0.00000000, -0.00000000,
************,************,************,
  0.00000000, -0.00000000,************,
************,************,************,
************,************,  0.00000000,
  0.02246908, -0.00000000,  0.00000000,
************,************,************,
************,************,************,
 -0.00021570,************,************,
************, -0.00338454,************,
************,************,  0.00000000,
************,************,  0.00000000,
  0.00000000,************,  0.00000000,
  0.00000000,************,************,
 -0.00000033, -0.00000000,************,
  0.00000000,************, -0.05117952,
************,************,************,
 -0.00007133,************,  0.00000000,
  0.00000000,************,  0.00000006,
 -0.00000000,************, -0.00000000,
************, -0.15619777,************,
 -0.11816581,  0.00000000, -0.00000000,
 -0.00332459,************, -0.00002170,
 -0.00000000,  0.00000000,235.99389648,
************,  0.00000000,************,
 -0.00000000, -0.00000000,  4.52792263,
************,  0.00000000,************,
************,************,************,
  0.00000000,************,************,
 -0.00000000,  0.00000000,************,
************,************,************,
 -0.00000000,************, -0.00000000,
  0.00000000,************,************,
************,  0.00000000,************,
  0.00000000,************, -0.00000000,
 -0.00000000,************,************,
  0.00000007,  0.00000000,************,
 -0.00000000,  0.00000000,************,
************,************, -0.00000000,
************,************,************,
  0.00000000,************, -0.00000000,
 -0.00000000, -0.00000000,************,
************,  0.00000130,************,
  0.00000000,************, -0.00000587,
************,************, -0.00000000,
 -0.00000000, -0.00000000,  0.00000000,
************,  0.00000000, -0.00000000,
 -0.00000000,************,************,
  0.00000960,************,************,
************,189.49172974, -0.00000000,
 -0.00000000,************, -0.00000000,
  0.00000000,************,************,
  0.00004944,************,  0.00000341,
 -0.00000008,  0.00000000, -0.00047059,
************,         NaN,************,
  0.00000000,************,************,
************,  0.00000008,  0.00016984,
 -1.92438579,************,************,
  0.00000000, -0.00000006,************,
 -0.00000000,************,************,
************, -0.00000000, -0.00000000,
 -0.00068821,************,  0.00000000,
 -0.00000202,************,************,
************,  0.00000000, -0.00000000,
 12.95489407,  0.07905035, -0.00000000,
 -0.00000000,************,************,
 -0.00000000, -0.00000000,************,
 -0.00000000,  0.00000000, -0.00000000,
 -0.00004474,************,  0.00000000,
************,************,************,
 -0.07655928,************,************,
************, -0.00000000,  0.00000000,
  0.00000000,************,************,
************,************,  0.00000000,
  0.00000000, -0.00000000, -0.00001813,
 -0.00000000, -0.00000000,  0.00000000,
************,************,  0.00000000,
 -0.00000006, -0.00000000,************,
  0.00000003,  0.00000000,************,
  0.00000000,  0.00001969,  0.00000000,
 -0.00000000, -0.01838071,************,
  0.00000000,************, -0.00000000,
************, -0.00000000, -0.00000736,
************, -0.00000000,  0.00000000,
************, -0.00000000,************,
************,************,************,
************,************,************,
************, -0.00000000,************,
  0.00000000, -0.00000000, -9.99985504,
 20.45936584, -0.00000000,  0.00000000,
************, -0.00000000,************,
************,  0.00000015, -0.00000000,
  0.00023946, -0.00000000,************,
************,233.73187256,************,
************, -0.00000000,************,
  0.00000005, -0.00000000,************,
 -0.00000000, -0.00000000,************,
 -0.69882810,************,  0.00000000,
  0.00000000,************,  0.00000000,
************,  0.00000000, -0.00000000,
************,************,  0.00000000,
************, -0.00000000,  0.00000000,
************,************,  0.00000000,
 -0.00177394, -6.41627359,-76.83125305,
 -0.00000000,  0.00000025,************,
************,************, -0.00000000,
 -0.00000000,  0.00000157, -0.00086318,
************, -0.00000000,************,
 -0.00000000,************,************,
************,************, -0.00000000,
  0.00000000, -0.00000000, -0.00000000,
  0.00000000,************, -0.00000000,
************, -0.00012172, -0.01407408,
************,************,************,
************, -0.00000598,************,
 -0.70704490,  0.00061641,  0.00000000,
************,************,************,
************, -0.00000000,  0.00000000,
************,************,************,
  0.00000000,************, -0.00000000,
************, -0.00000000,************,
 -0.00000000,************, -0.00000000,
************,  8.27149868, -0.94478530,
  0.00000002, -0.00000000,  0.00000000,
 -0.04566986, 39.72938919, -0.00000000,
************,************,************,
  0.00000000, -0.00000000,************,
************, -0.00000000,************,
************,************,  0.00000000,
  0.00000000,************,************,
  0.00000000,************, -0.00173117,
 -0.00000000, -1.59771812,************,
************,************,************,
************,************,************,
-62.81281662,************,************,
  0.00000000,************, 13.06379795,
************, -0.00000000,************,
************, -0.00000000,************,
  0.00000000,************,************,
************, 26.73918533, 14.96528816,
************,************,************,
  0.00000000,************,************,
************,  0.00007638,************,
 -0.00000000, -0.00000000,************,
 -4.83184671, -0.00001531,  0.00000000,
************,************,************,
************,************,************,
  0.00078787,************,************,
  0.00000000,************, -0.00000000,
************,  0.00000000,  0.00000000,
 -0.00000000,************,************,
************,************,  0.00000000,
************,  0.00000000,************,
-62.22864532,  0.00000000,************,
************,************,************,
************,************,************,
  0.00000000,************, -0.00000000,
************,  0.00000004,************,
 -0.00000000,  0.00000000,************,
 -0.00000000,************,************,
************, -0.00000000,  0.00000000,
************,************,************,
************,************, -0.00000000,
************,  0.00004013, -0.00238766,
************, -0.00000000, -0.00000000,
 -0.00000000,************,  0.00000669,
  0.00000000,************, -0.33309650,
 -0.00000671,************, -0.00000000,
  0.00000000,  0.00000000,************,
 -0.00081078,************,************,
  0.00000000,************, -0.00000040,
173.43777466,  0.00000000,************,
************, -0.00014347,  0.00000000,
 -0.00000000,************,************,
  0.00000000, -0.00000000,************,
 -0.00000000,  0.00000000, -0.00000000,
************,************,************,
  0.00000820,************,************,
  0.00000000,************,************,
  0.00000000,************, -0.00000000,
 -3.09743905,************,************,
 -0.00000000,************,************,
 -0.00000000,************,************,
************,  0.00000006,************,
  0.00000000,  0.00000000,************,
 -0.00000000,************,  0.00000000,
 -0.00000000,  0.00000000, -0.00000000,
************,************,************,
************,************,************,
************,************,************,
-47.80345917,************,************,
************,************, -0.00000000,
************,************,************,
************,************, -0.00000000,
************,************,************,
************,  0.00000000,************,
************,************,  0.00000023,
************,************,  0.00000000,
 -3.15104842,************, -0.00000000,
  0.00000000,************,  0.00000000,
************,************, -0.00000000,
  0.00000000, -0.00000000,************,
 -0.00000000, -0.28410915, -0.08873635,
************, -0.00000000, -0.00000001,
